Year,Rnd,Pick,Player
2021,1,1,Trevor Lawrence
2021,1,2,Zach Wilson
2021,1,3,Trey Lance
2021,1,11,Justin Fields
2021,1,15,Mac Jones
2021,2,64,Kyle Trask
2021,3,66,Kellen Mond
2021,3,67,Davis Mills
2021,4,133,Ian Book
2021,6,218,Sam Ehlinger
2020,1,1,Joe Burrow
2020,1,5,Tua Tagovailoa
2020,1,6,Justin Herbert
2020,1,26,Jordan Love
2020,2,53,Jalen Hurts
2020,4,122,Jacob Eason
2020,4,125,James Morgan
2020,5,167,Jake Fromm
2020,6,189,Jake Luton
2020,7,224,Cole McDonald
2020,7,231,Ben DiNucci
2020,7,240,Tommy Stevens
2020,7,244,Nate Stanley
2019,1,1,Kyler Murray
2019,1,6,Daniel Jones
2019,1,15,Dwayne Haskins
2019,2,42,Drew Lock
2019,3,100,Will Grier
2019,4,104,Ryan Finley
2019,4,133,Jarrett Stidham
2019,5,166,Easton Stick
2019,5,167,Clayton Thorson
2019,6,178,Gardner Minshew II
2019,6,197,Trace McSorley
2018,1,1,Baker Mayfield
2018,1,3,Sam Darnold
2018,1,7,Josh Allen
2018,1,10,Josh Rosen
2018,1,32,Lamar Jackson
2018,3,76,Mason Rudolph
2018,4,108,Kyle Lauletta
2018,5,171,Mike White
2018,6,199,Luke Falk
2018,6,203,Tanner Lee
2018,7,219,Danny Etling
2018,7,220,Alex McGough
2018,7,249,Logan Woodside
2017,1,2,Mitchell Trubisky
2017,1,10,Patrick Mahomes
2017,1,12,Deshaun Watson
2017,2,52,DeShone Kizer
2017,3,87,Davis Webb
2017,3,104,C.J. Beathard
2017,4,135,Joshua Dobbs
2017,5,171,Nathan Peterman
2017,6,215,Brad Kaaya
2017,7,253,Chad Kelly
2016,1,1,Jared Goff
2016,1,2,Carson Wentz
2016,1,26,Paxton Lynch
2016,2,51,Christian Hackenberg
2016,3,91,Jacoby Brissett
2016,3,93,Cody Kessler
2016,4,100,Connor Cook
2016,4,135,Dak Prescott
2016,4,139,Cardale Jones
2016,5,162,Kevin Hogan
2016,6,187,Nate Sudfeld
2016,6,191,Jake Rudock
2016,6,201,Brandon Allen
2016,6,207,Jeff Driskel
2016,7,223,Brandon Doughty
2015,1,1,Jameis Winston
2015,1,2,Marcus Mariota
2015,3,75,Garrett Grayson
2015,3,89,Sean Mannion
2015,4,103,Bryce Petty
2015,5,147,Brett Hundley
2015,7,250,Trevor Siemian
2014,1,3,Blake Bortles
2014,1,22,Johnny Manziel
2014,1,32,Teddy Bridgewater
2014,2,36,Derek Carr
2014,2,62,Jimmy Garoppolo
2014,4,120,Logan Thomas
2014,4,135,Tom Savage
2014,5,163,Aaron Murray
2014,5,164,A.J. McCarron
2014,6,178,Zach Mettenberger
2014,6,183,David Fales
2014,6,194,Keith Wenning
2014,6,213,Tajh Boyd
2014,6,214,Garrett Gilbert
2013,1,16,EJ Manuel
2013,2,39,Geno Smith
2013,3,73,Mike Glennon
2013,4,98,Matt Barkley
2013,4,110,Ryan Nassib
2013,4,112,Tyler Wilson
2013,4,115,Landry Jones
2013,7,221,Brad Sorensen
2013,7,234,Zac Dysert
2013,7,237,B.J. Daniels
2013,7,249,Sean Renfree
2012,1,1,Andrew Luck
2012,1,2,Robert Griffin III
2012,1,8,Ryan Tannehill
2012,1,22,Brandon Weeden
2012,2,57,Brock Osweiler
2012,3,75,Russell Wilson
2012,3,88,Nick Foles
2012,4,102,Kirk Cousins
2012,6,185,Ryan Lindley
2012,7,243,B.J. Coleman
2012,7,253,Chandler Harnish
2011,1,1,Cam Newton
2011,1,8,Jake Locker
2011,1,10,Blaine Gabbert
2011,1,12,Christian Ponder
2011,2,35,Andy Dalton
2011,2,36,Colin Kaepernick
2011,3,74,Ryan Mallett
2011,5,135,Ricky Stanzi
2011,5,152,T.J. Yates
2011,5,160,Nathan Enderle
2011,6,180,Tyrod Taylor
2011,7,208,Greg McElroy
2010,1,1,Sam Bradford
2010,1,25,Tim Tebow
2010,2,48,Jimmy Clausen
2010,3,85,Colt McCoy
2010,4,122,Mike Kafka
2010,5,155,John Skelton
2010,5,168,Jonathan Crompton
2010,6,176,Rusty Smith
2010,6,181,Dan LeFevour
2010,6,204,Tony Pike
2010,7,209,Levi Brown
2010,7,239,Sean Canfield
2010,7,250,Zac Robinson
2009,1,1,Matthew Stafford
2009,1,5,Mark Sanchez
2009,1,17,Josh Freeman
2009,2,44,Pat White
2009,4,101,Stephen McGee
2009,5,151,Rhett Bomar
2009,5,171,Nate Davis
2009,6,174,Tom Brandstater
2009,6,178,Mike Teel
2009,6,196,Keith Null
2009,6,201,Curtis Painter
2008,1,3,Matt Ryan
2008,1,18,Joe Flacco
2008,2,56,Brian Brohm
2008,2,57,Chad Henne
2008,3,94,Kevin O'Connell
2008,5,137,John David Booty
2008,5,156,Dennis Dixon
2008,5,160,Josh Johnson
2008,5,162,Erik Ainge
2008,6,186,Colt Brennan
2008,6,198,Andre Woodson
2008,7,209,Matt Flynn
2008,7,223,Alex Brink
2007,1,1,JaMarcus Russell
2007,1,22,Brady Quinn
2007,2,36,Kevin Kolb
2007,2,40,John Beck
2007,2,43,Drew Stanton
2007,3,92,Trent Edwards
2007,4,103,Isaiah Stanback
2007,5,151,Jeff Rowe
2007,5,174,Troy Smith
2007,6,205,Jordan Palmer
2007,7,217,Tyler Thigpen
2006,1,3,Vince Young
2006,1,10,Matt Leinart
2006,1,11,Jay Cutler
2006,2,49,Kellen Clemens
2006,2,64,Tarvaris Jackson
2006,3,81,Charlie Whitehurst
2006,3,85,Brodie Croyle
2006,4,103,Brad Smith
2006,5,148,Ingle Martin
2006,5,164,Omar Jacobs
2006,6,193,Reggie McNeal
2006,6,194,Bruce Gradkowski
2006,7,223,D.J. Shockley
2005,1,1,Alex Smith
2005,1,24,Aaron Rodgers
2005,1,25,Jason Campbell
2005,3,67,Charlie Frye
2005,3,69,Andrew Walter
2005,3,85,David Greene
2005,4,106,Kyle Orton
2005,4,121,Stefan Lefors
2005,5,145,Dan Orlovsky
2005,5,152,Adrian McPherson
2005,6,213,Derek Anderson
2005,7,229,James Kilian
2005,7,230,Matt Cassel
2005,7,250,Ryan Fitzpatrick
2004,1,1,Eli Manning
2004,1,4,Philip Rivers
2004,1,11,Ben Roethlisberger
2004,1,22,J.P. Losman
2004,3,90,Matt Schaub
2004,4,106,Luke McCown
2004,5,148,Craig Krenzel
2004,6,185,Andy Hall
2004,6,187,Josh Harris
2004,6,193,Jim Sorgi
2004,6,201,Jeff Smoker
2004,7,202,John Navarre
2004,7,217,Cody Pickett
2004,7,218,Casey Bramlet
2004,7,225,Matt Mauck
2004,7,248,B.J. Symons
2004,7,250,Bradlee Van Pelt
2003,1,1,Carson Palmer
2003,1,7,Byron Leftwich
2003,1,19,Kyle Boller
2003,1,22,Rex Grossman
2003,3,88,Dave Ragone
2003,3,97,Chris Simms
2003,4,110,Seneca Wallace
2003,5,163,Brian St. Pierre
2003,6,192,Drew Henson
2003,6,200,Brooks Bollinger
2003,6,201,Kliff Kingsbury
2003,7,232,Gibran Hamdan
2003,7,241,Ken Dorsey
2002,1,1,David Carr
2002,1,3,Joey Harrington
2002,1,32,Patrick Ramsey
2002,3,81,Josh McCown
2002,4,108,David Garrard
2002,4,117,Rohan Davey
2002,5,137,Randy Fasani
2002,5,158,Kurt Kittner
2002,5,163,Brandon Doman
2002,5,164,Craig Nall
2002,6,186,J.T. O'Sullivan
2002,6,205,Steve Bellisari
2002,7,216,Seth Burford
2002,7,232,Jeff Kelly
2002,7,236,Wes Pate
2001,1,1,Michael Vick
2001,2,32,Drew Brees
2001,2,53,Quincy Carter
2001,2,59,Marques Tuiasosopo
2001,4,106,Chris Weinke
2001,4,109,Sage Rosenfels
2001,4,125,Jesse Palmer
2001,5,149,Mike McMahon
2001,5,155,A.J. Feeley
2001,6,172,Josh Booty
2001,6,177,Josh Heupel
2000,1,18,Chad Pennington
2000,3,65,Giovanni Carmazzi
2000,3,75,Chris Redman
2000,5,163,Tee Martin
2000,6,168,Marc Bulger
2000,6,183,Spergon Wynn
2000,6,199,Tom Brady
2000,6,202,Todd Husak
2000,6,205,JaJuan Seider
2000,7,212,Tim Rattay
2000,7,214,Jarious Jackson
2000,7,234,Joe Hamilton
1999,1,1,Tim Couch
1999,1,2,Donovan McNabb
1999,1,3,Akili Smith
1999,1,11,Daunte Culpepper
1999,1,12,Cade McNown
1999,2,50,Shaun King
1999,3,77,Brock Huard
1999,4,101,Joe Germaine
1999,4,131,Aaron Brooks
1999,5,151,Kevin Daft
1999,7,227,Michael Bishop
1999,7,239,Chris Greisen
1999,7,245,Scott Covington
1998,1,1,Peyton Manning HOF
1998,1,2,Ryan Leaf
1998,2,60,Charlie Batch
1998,3,86,Jonathan Quinn
1998,3,91,Brian Griese
1998,6,172,John Dutton
1998,6,187,Matt Hasselbeck
1998,7,232,Moses Moreno
1997,1,26,Jim Druckenmiller
1997,2,42,Jake Plummer
1997,4,99,Danny Wuerffel
1997,4,110,Pat Barnes
1997,6,171,Mike Cherry
1997,6,191,Chuck Clements
1997,7,204,Tony Graziani
1997,7,207,Koy Detmer
1997,7,234,Wally Richardson
